speaker,Season,Words
Chandler,Season 1,8796
Chandler,Season 2,8248
Chandler,Season 3,8952
Chandler,Season 4,9695
Chandler,Season 5,8611
Chandler,Season 6,10764
Chandler,Season 7,8712
Chandler,Season 8,6262
Chandler,Season 9,10980
Chandler,Season 10,6589
Joey,Season 1,6195
Joey,Season 2,7207
Joey,Season 3,8504
Joey,Season 4,8541
Joey,Season 5,9731
Joey,Season 6,10923
Joey,Season 7,9777
Joey,Season 8,10695
Joey,Season 9,9318
Joey,Season 10,6886
Monica,Season 1,7851
Monica,Season 2,7822
Monica,Season 3,8301
Monica,Season 4,7897
Monica,Season 5,8703
Monica,Season 6,8784
Monica,Season 7,9397
Monica,Season 8,8768
Monica,Season 9,9400
Monica,Season 10,6958
Phoebe,Season 1,6522
Phoebe,Season 2,8713
Phoebe,Season 3,9177
Phoebe,Season 4,8560
Phoebe,Season 5,8695
Phoebe,Season 6,8372
Phoebe,Season 7,7910
Phoebe,Season 8,7688
Phoebe,Season 9,9397
Phoebe,Season 10,7420
Rachel,Season 1,8854
Rachel,Season 2,8600
Rachel,Season 3,8809
Rachel,Season 4,9896
Rachel,Season 5,10352
Rachel,Season 6,11013
Rachel,Season 7,11813
Rachel,Season 8,11650
Rachel,Season 9,9915
Rachel,Season 10,7960
Ross,Season 1,10569
Ross,Season 2,9382
Ross,Season 3,10725
Ross,Season 4,9178
Ross,Season 5,9234
Ross,Season 6,10307
Ross,Season 7,8960
Ross,Season 8,10295
Ross,Season 9,10482
Ross,Season 10,8289
